ti              Di              dD/dt           ti+1            Di+1           
0,0000          0,0000          6,0000          0,1000          0,6000         
0,1000          0,6000          6,1000          0,2000          0,7100         
0,2000          0,7100          6,2000          0,3000          0,8200         
0,3000          0,8200          6,3000          0,4000          0,9300         
0,4000          0,9300          6,4000          0,5000          1,0400         
0,5000          1,0400          6,5000          0,6000          1,1500         
0,6000          1,1500          6,6000          0,7000          1,2600         
0,7000          1,2600          6,7000          0,8000          1,3700         
0,8000          1,3700          6,8000          0,9000          1,4800         
0,9000          1,4800          6,9000          1,0000          1,5900         
1,0000          1,5900          7,0000          1,1000          1,7000         
1,1000          1,7000          7,1000          1,2000          1,8100         
1,2000          1,8100          7,2000          1,3000          1,9200         
1,3000          1,9200          7,3000          1,4000          2,0300         
1,4000          2,0300          7,4000          1,5000          2,1400         
1,5000          2,1400          7,5000          1,6000          2,2500         
1,6000          2,2500          7,6000          1,7000          2,3600         
1,7000          2,3600          7,7000          1,8000          2,4700         
1,8000          2,4700          7,8000          1,9000          2,5800         
1,9000          2,5800          7,9000          2,0000          2,6900         
2,0000          2,6900          8,0000          2,1000          2,8000         
2,1000          2,8000          8,1000          2,2000          2,9100         
2,2000          2,9100          8,2000          2,3000          3,0200         
2,3000          3,0200          8,3000          2,4000          3,1300         
2,4000          3,1300          8,4000          2,5000          3,2400         
2,5000          3,2400          8,5000          2,6000          3,3500         
2,6000          3,3500          8,6000          2,7000          3,4600         
2,7000          3,4600          8,7000          2,8000          3,5700         
2,8000          3,5700          8,8000          2,9000          3,6800         
2,9000          3,6800          8,9000          3,0000          3,7900         
3,0000          3,7900          9,0000          3,1000          3,9000         
3,1000          3,9000          9,1000          3,2000          4,0100         
3,2000          4,0100          9,2000          3,3000          4,1200         
3,3000          4,1200          9,3000          3,4000          4,2300         
3,4000          4,2300          9,4000          3,5000          4,3400         
3,5000          4,3400          9,5000          3,6000          4,4500         
3,6000          4,4500          9,6000          3,7000          4,5600         
3,7000          4,5600          9,7000          3,8000          4,6700         
3,8000          4,6700          9,8000          3,9000          4,7800         
3,9000          4,7800          9,9000          4,0000          4,8900         
4,0000          4,8900          10,0000         4,1000          5,0000         
4,1000          5,0000          10,1000         4,2000          5,1100         
4,2000          5,1100          10,2000         4,3000          5,2200         
4,3000          5,2200          10,3000         4,4000          5,3300         
4,4000          5,3300          10,4000         4,5000          5,4400         
4,5000          5,4400          10,5000         4,6000          5,5500         
4,6000          5,5500          10,6000         4,7000          5,6600         
4,7000          5,6600          10,7000         4,8000          5,7700         
4,8000          5,7700          10,8000         4,9000          5,8800         
4,9000          5,8800          10,9000         5,0000          5,9900         
5,0000          5,9900          11,0000         5,1000          6,1000         
5,1000          6,1000          11,1000         5,2000          6,2100         
5,2000          6,2100          11,2000         5,3000          6,3200         
5,3000          6,3200          11,3000         5,4000          6,4300         
5,4000          6,4300          11,4000         5,5000          6,5400         
5,5000          6,5400          11,5000         5,6000          6,6500         
5,6000          6,6500          11,6000         5,7000          6,7600         
5,7000          6,7600          11,7000         5,8000          6,8700         
5,8000          6,8700          11,8000         5,9000          6,9800         
5,9000          6,9800          11,9000         6,0000          7,0900         
6,0000          7,0900          12,0000         6,1000          7,2000         
6,1000          7,2000          12,1000         6,2000          7,3100         
6,2000          7,3100          12,2000         6,3000          7,4200         
6,3000          7,4200          12,3000         6,4000          7,5300         
6,4000          7,5300          12,4000         6,5000          7,6400         
6,5000          7,6400          12,5000         6,6000          7,7500         
6,6000          7,7500          12,6000         6,7000          7,8600         
6,7000          7,8600          12,7000         6,8000          7,9700         
6,8000          7,9700          12,8000         6,9000          8,0800         
6,9000          8,0800          12,9000         7,0000          8,1900         
7,0000          8,1900          13,0000         7,1000          8,3000         
7,1000          8,3000          13,1000         7,2000          8,4100         
7,2000          8,4100          13,2000         7,3000          8,5200         
7,3000          8,5200          13,3000         7,4000          8,6300         
7,4000          8,6300          13,4000         7,5000          8,7400         
7,5000          8,7400          13,5000         7,6000          8,8500         
7,6000          8,8500          13,6000         7,7000          8,9600         
7,7000          8,9600          13,7000         7,8000          9,0700         
7,8000          9,0700          13,8000         7,9000          9,1800         
7,9000          9,1800          13,9000         8,0000          9,2900         
8,0000          9,2900          14,0000         8,1000          9,4000         
8,1000          9,4000          14,1000         8,2000          9,5100         
8,2000          9,5100          14,2000         8,3000          9,6200         
8,3000          9,6200          14,3000         8,4000          9,7300         
8,4000          9,7300          14,4000         8,5000          9,8400         
8,5000          9,8400          14,5000         8,6000          9,9500         
8,6000          9,9500          14,6000         8,7000          10,0600        
8,7000          10,0600         14,7000         8,8000          10,1700        
8,8000          10,1700         14,8000         8,9000          10,2800        
8,9000          10,2800         14,9000         9,0000          10,3900        
9,0000          10,3900         15,0000         9,1000          10,5000        
9,1000          10,5000         15,1000         9,2000          10,6100        
9,2000          10,6100         15,2000         9,3000          10,7200        
9,3000          10,7200         15,3000         9,4000          10,8300        
9,4000          10,8300         15,4000         9,5000          10,9400        
9,5000          10,9400         15,5000         9,6000          11,0500        
9,6000          11,0500         15,6000         9,7000          11,1600        
9,7000          11,1600         15,7000         9,8000          11,2700        
9,8000          11,2700         15,8000         9,9000          11,3800        
9,9000          11,3800         15,9000         10,0000         11,4900        
10,0000         11,4900         16,0000         10,1000         11,6000        
10,1000         11,6000         16,1000         10,2000         11,7100        
10,2000         11,7100         16,2000         10,3000         11,8200        
10,3000         11,8200         16,3000         10,4000         11,9300        
10,4000         11,9300         16,4000         10,5000         12,0400        
10,5000         12,0400         16,5000         10,6000         12,1500        
10,6000         12,1500         16,6000         10,7000         12,2600        
10,7000         12,2600         16,7000         10,8000         12,3700        
10,8000         12,3700         16,8000         10,9000         12,4800        
10,9000         12,4800         16,9000         11,0000         12,5900        
11,0000         12,5900         17,0000         11,1000         12,7000        
11,1000         12,7000         17,1000         11,2000         12,8100        
11,2000         12,8100         17,2000         11,3000         12,9200        
11,3000         12,9200         17,3000         11,4000         13,0300        
11,4000         13,0300         17,4000         11,5000         13,1400        
11,5000         13,1400         17,5000         11,6000         13,2500        
11,6000         13,2500         17,6000         11,7000         13,3600        
11,7000         13,3600         17,7000         11,8000         13,4700        
11,8000         13,4700         17,8000         11,9000         13,5800        
11,9000         13,5800         17,9000         12,0000         13,6900        
12,0000         13,6900         18,0000         12,1000         13,8000        
12,1000         13,8000         18,1000         12,2000         13,9100        
12,2000         13,9100         18,2000         12,3000         14,0200        
12,3000         14,0200         18,3000         12,4000         14,1300        
12,4000         14,1300         18,4000         12,5000         14,2400        
12,5000         14,2400         18,5000         12,6000         14,3500        
12,6000         14,3500         18,6000         12,7000         14,4600        
12,7000         14,4600         18,7000         12,8000         14,5700        
12,8000         14,5700         18,8000         12,9000         14,6800        
12,9000         14,6800         18,9000         13,0000         14,7900        
13,0000         14,7900         19,0000         13,1000         14,9000        
13,1000         14,9000         19,1000         13,2000         15,0100        
13,2000         15,0100         19,2000         13,3000         15,1200        
13,3000         15,1200         19,3000         13,4000         15,2300        
13,4000         15,2300         19,4000         13,5000         15,3400        
13,5000         15,3400         19,5000         13,6000         15,4500        
13,6000         15,4500         19,6000         13,7000         15,5600        
13,7000         15,5600         19,7000         13,8000         15,6700        
13,8000         15,6700         19,8000         13,9000         15,7800        
13,9000         15,7800         19,9000         14,0000         15,8900        
14,0000         15,8900         20,0000         14,1000         16,0000        
14,1000         16,0000         20,1000         14,2000         16,1100        
14,2000         16,1100         20,2000         14,3000         16,2200        
14,3000         16,2200         20,3000         14,4000         16,3300        
14,4000         16,3300         20,4000         14,5000         16,4400        
14,5000         16,4400         20,5000         14,6000         16,5500        
14,6000         16,5500         20,6000         14,7000         16,6600        
14,7000         16,6600         20,7000         14,8000         16,7700        
14,8000         16,7700         20,8000         14,9000         16,8800        
14,9000         16,8800         20,9000         15,0000         16,9900        
15,0000         16,9900         21,0000         15,1000         17,1000        
15,1000         17,1000         21,1000         15,2000         17,2100        
15,2000         17,2100         21,2000         15,3000         17,3200        
15,3000         17,3200         21,3000         15,4000         17,4300        
15,4000         17,4300         21,4000         15,5000         17,5400        
15,5000         17,5400         21,5000         15,6000         17,6500        
15,6000         17,6500         21,6000         15,7000         17,7600        
15,7000         17,7600         21,7000         15,8000         17,8700        
15,8000         17,8700         21,8000         15,9000         17,9800        
15,9000         17,9800         21,9000         16,0000         18,0900        
16,0000         18,0900         22,0000         16,1000         18,2000        
16,1000         18,2000         22,1000         16,2000         18,3100        
16,2000         18,3100         22,2000         16,3000         18,4200        
16,3000         18,4200         22,3000         16,4000         18,5300        
16,4000         18,5300         22,4000         16,5000         18,6400        
16,5000         18,6400         22,5000         16,6000         18,7500        
16,6000         18,7500         22,6000         16,7000         18,8600        
16,7000         18,8600         22,7000         16,8000         18,9700        
16,8000         18,9700         22,8000         16,9000         19,0800        
16,9000         19,0800         22,9000         17,0000         19,1900        
17,0000         19,1900         23,0000         17,1000         19,3000        
17,1000         19,3000         23,1000         17,2000         19,4100        
17,2000         19,4100         23,2000         17,3000         19,5200        
17,3000         19,5200         23,3000         17,4000         19,6300        
17,4000         19,6300         23,4000         17,5000         19,7400        
17,5000         19,7400         23,5000         17,6000         19,8500        
17,6000         19,8500         23,6000         17,7000         19,9600        
17,7000         19,9600         23,7000         17,8000         20,0700        
17,8000         20,0700         23,8000         17,9000         20,1800        
17,9000         20,1800         23,9000         18,0000         20,2900        
18,0000         20,2900         24,0000         18,1000         20,4000        
18,1000         20,4000         24,1000         18,2000         20,5100        
18,2000         20,5100         24,2000         18,3000         20,6200        
18,3000         20,6200         24,3000         18,4000         20,7300        
18,4000         20,7300         24,4000         18,5000         20,8400        
18,5000         20,8400         24,5000         18,6000         20,9500        
18,6000         20,9500         24,6000         18,7000         21,0600        
18,7000         21,0600         24,7000         18,8000         21,1700        
18,8000         21,1700         24,8000         18,9000         21,2800        
18,9000         21,2800         24,9000         19,0000         21,3900        
19,0000         21,3900         25,0000         19,1000         21,5000        
19,1000         21,5000         25,1000         19,2000         21,6100        
19,2000         21,6100         25,2000         19,3000         21,7200        
19,3000         21,7200         25,3000         19,4000         21,8300        
